,City,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
42,Mnogovershinnyy,0,90,53.94,139.92,14.76,0.92
43,Ponta do sol,80,65,32.67,-17.1,60.01,1.99
44,Arraial do cabo,40,69,-22.97,-42.03,80.6,9.17
45,Yellowknife,20,62,62.46,-114.35,23.0,3.36
46,Upernavik,100,89,72.79,-56.15,15.37,5.57
47,Punta arenas,75,59,-53.15,-70.92,62.6,24.16
48,Carnarvon,9,74,-24.87,113.63,82.4,9.17
49,Marsh harbour,6,69,26.54,-77.06,78.26,13.85
50,Sovetskiy,75,91,61.36,63.58,27.63,11.79
51,Phangnga,65,84,8.45,98.53,76.6,2.73
52,Provideniya,31,92,64.38,-173.3,20.3,2.33
53,Acapulco,5,70,16.86,-99.89,84.2,6.93
54,Tottori,75,52,35.5,134.23,48.27,4.63
55,Lucapa,100,70,-8.42,20.74,70.09,1.41
56,Rudbar,9,27,30.15,62.6,68.0,13.18
57,Isaka,83,62,-3.9,32.93,69.85,2.37
58,Kavaratti,0,66,10.57,72.64,83.59,5.66
59,Wagga wagga,8,72,-35.12,147.37,60.8,10.29
60,Salinas,75,71,36.68,-121.66,54.0,6.4
61,Birin,68,44,26.89,88.07,58.78,3.62
62,Saint-georges,20,66,12.06,-61.75,84.2,14.99
63,Oskaloosa,75,76,41.3,-92.64,53.6,16.11
64,Klaksvik,9,75,62.23,-6.59,44.46,20.38
65,Hobart,90,87,-42.88,147.33,42.8,9.17
66,Puerto ayora,36,81,-0.74,-90.35,81.0,10.0
67,Sao filipe,24,77,14.9,-24.5,68.59,14.23
68,Huautla,0,45,21.03,-98.28,88.27,3.91
69,Abu kamal,0,45,34.45,40.92,66.88,8.95
70,Mecca,100,32,21.43,39.83,77.58,1.3
71,Tomatlan,0,41,19.93,-105.25,85.32,6.33
72,Kristiinankaupunki,93,74,62.27,21.38,42.94,16.33
73,Devonport,4,71,-41.17,146.35,51.01,7.0
74,Chuy,40,63,-33.7,-53.46,77.97,7.38
75,Lincoln,90,63,40.8,-96.67,61.0,16.11
76,Khatanga,96,94,71.97,102.5,6.71,9.64
77,Angul,0,40,20.85,85.1,80.83,1.36
78,Vardo,37,83,70.37,31.11,35.51,26.24
79,Cape town,90,93,-33.93,18.42,63.0,12.75
80,Bichura,96,80,50.59,107.6,9.54,11.48
81,Sale,20,82,34.04,-6.82,60.8,9.17
82,Rio grande,17,66,-32.03,-52.1,77.67,8.7
83,Nushki,64,19,29.55,66.02,65.75,4.74
84,Lata,7,68,40.16,-8.33,58.91,7.99
85,Kibala,88,30,9.11,18.35,96.8,3.49
86,Tazovskiy,100,97,67.47,78.7,24.13,14.63
87,Cabo san lucas,5,41,22.89,-109.91,82.99,3.36
88,Vaini,20,94,-21.2,-175.2,73.4,4.7
89,Lavrentiya,75,94,65.58,-171.0,17.44,4.25
90,Avarua,40,88,-21.21,-159.78,80.6,9.17
91,Clyde river,1,75,70.47,-68.59,-13.0,8.05
92,Barrow,40,91,71.29,-156.79,-7.6,13.87
93,Comodoro rivadavia,0,31,-45.87,-67.5,75.2,12.75
94,Souillac,40,88,-20.52,57.52,78.8,10.29
95,Torbay,90,86,47.67,-52.73,30.99,29.97
96,Chokurdakh,39,85,70.63,147.92,-22.31,4.23
97,Praia da vitoria,40,62,38.73,-27.07,55.4,17.25
98,Sarab,100,40,38.61,44.99,54.75,4.76
99,Butaritari,83,80,3.07,172.79,83.16,23.02
100,Tiksi,0,83,71.69,128.87,-18.54,6.42
101,Guaimaro,0,29,21.05,-77.35,94.28,3.11
102,Beringovskiy,14,95,63.05,179.32,28.71,2.01
103,Faanui,11,68,-16.48,-151.75,82.94,7.99
104,Pevek,100,94,69.7,170.31,4.95,3.27
105,Tiznit,3,57,29.58,-9.5,57.63,10.04
106,Kruisfontein,65,68,-34.0,24.73,64.96,20.92
107,Cidreira,0,64,-30.18,-50.21,77.85,14.27
108,Victoria,97,83,22.29,114.16,73.0,10.0
109,Vestmannaeyjar,40,71,63.44,-20.27,39.2,24.16
110,Atuona,25,73,-9.8,-139.03,82.27,12.53
111,Verkhoyansk,9,85,67.54,133.38,-16.13,1.25
112,Hithadhoo,44,68,-0.6,73.08,83.64,11.72
113,Ola,86,91,59.58,151.28,20.1,5.1
114,Port macquarie,100,97,-31.43,152.92,64.0,5.41
115,Cayenne,75,65,4.93,-52.33,82.4,13.87
116,Nikolskoye,65,70,59.7,30.79,39.43,13.31
117,Matadi,97,87,-5.82,13.45,79.25,4.68
118,El cobre,20,61,20.05,-75.95,82.4,9.17
119,Port elizabeth,66,72,-33.92,25.57,66.2,19.46
120,Narsaq,94,94,60.92,-46.05,25.86,9.06
121,Diego de almagro,1,16,-26.37,-70.05,82.8,13.73
122,Katsuura,84,63,35.13,140.3,55.09,9.82
123,Vangaindrano,86,92,-23.35,47.6,73.35,3.0
124,Bartlesville,1,50,36.75,-95.98,75.2,14.99
125,Bloomingdale,90,66,27.89,-82.24,84.99,17.22
126,Iqaluit,40,58,63.75,-68.51,-4.0,5.82
127,Dikson,100,97,73.51,80.55,21.29,24.63
128,Rabat,20,82,33.99,-6.84,62.01,9.17
129,Saint george,1,36,37.1,-113.58,64.0,5.82
130,Guerrero negro,33,61,27.98,-114.06,64.47,21.27
131,Raahe,96,80,64.68,24.48,38.62,14.36
132,Castro,8,30,-24.79,-50.01,76.44,2.73
133,Kaitangata,64,85,-46.28,169.85,47.89,5.46
134,Nikolayevka,42,90,53.13,47.2,30.02,6.67
135,Singaraja,12,78,-8.11,115.09,81.82,5.17
136,Tarakan,43,79,3.3,117.63,80.31,3.06
137,Noumea,54,81,-22.28,166.46,74.16,10.0
138,Gamba,98,80,-2.65,10.0,80.37,9.93
139,Hilo,90,82,19.73,-155.09,68.0,9.17
140,Vao,60,81,-22.67,167.48,75.99,18.23
141,Saint anthony,90,75,45.02,-93.22,46.4,5.82
142,Cockburn town,20,61,21.46,-71.14,80.6,9.17
143,Bredasdorp,57,88,-34.53,20.04,62.6,21.92
144,Portales,98,12,34.19,-103.33,73.78,15.77
145,Kavieng,98,80,-2.57,150.8,81.21,18.5
146,Turukhansk,99,96,65.82,87.98,20.05,12.73
147,Edd,42,56,13.93,41.69,82.62,1.32
148,Asau,26,77,46.43,26.4,29.89,6.49
149,Bambous virieux,40,88,-20.34,57.76,78.8,10.29
150,Kloulklubed,92,80,7.04,134.26,81.66,22.26
151,Bilibino,100,88,68.05,166.44,8.35,1.9
152,Camopi,86,85,3.17,-52.32,81.63,4.36
153,Loralai,32,35,30.37,68.6,58.82,5.48
154,Tsabong,25,19,-26.02,22.4,85.69,6.46
155,Coremas,98,85,-7.01,-37.95,76.35,4.18
156,Paracuru,84,67,-3.41,-39.03,85.93,7.67
157,Yinchuan,99,37,38.47,106.27,42.84,11.7
158,Thessalon,89,76,46.25,-83.57,39.16,7.9
159,Tual,100,74,-5.67,132.75,83.25,7.4
160,Hasaki,71,69,35.73,140.83,54.63,11.03
161,Zhezkazgan,0,87,47.8,67.71,17.19,13.47
162,Alice springs,4,49,-23.7,133.88,71.6,8.05
163,Tasiilaq,100,95,65.61,-37.64,18.9,3.62
164,Mehran,100,42,33.12,46.16,69.31,7.09
165,Jacareacanga,40,59,-6.22,-57.75,93.2,4.7
166,Bouza,19,13,14.42,6.04,92.34,12.19
167,Fortuna,1,66,40.6,-124.16,51.01,1.41
168,Haines junction,94,80,60.75,-137.51,23.13,4.76
169,Sooke,25,78,48.37,-123.73,48.0,1.01
170,Virginia beach,90,87,36.85,-75.98,52.0,16.11
171,Trudarmeyskiy,96,92,54.13,86.41,12.18,8.5
172,Nador,73,67,35.17,-2.93,57.2,4.7
173,Lorengau,100,87,-2.02,147.27,79.38,15.77
174,Tura,6,38,25.52,90.22,70.43,1.95
175,Poim,50,78,53.03,43.19,33.28,7.02
176,Paita,3,55,-5.09,-81.11,83.75,12.64
177,Ostrovnoy,99,87,68.05,39.51,34.39,18.41
178,Albany,100,62,42.6,-73.97,44.01,3.18
179,Biltine,5,11,14.53,20.92,84.65,3.58
180,Ilulissat,100,94,69.22,-51.1,14.38,21.45
181,Camacha,20,63,33.08,-16.33,62.6,8.05
182,Normandin,100,84,48.83,-72.53,35.11,8.32
183,Kortkeros,100,93,61.81,51.58,32.14,12.55
184,La ronge,75,72,55.1,-105.28,17.6,5.82
185,Thompson,75,61,55.74,-97.86,14.0,2.24
186,Oksfjord,97,93,70.24,22.35,31.84,23.31
187,Emerald,0,77,-23.53,148.17,66.2,4.7
188,Rokytne,0,81,51.28,27.21,31.37,5.64
189,Vaxjo,35,48,56.88,14.81,41.0,8.05
190,San rafael,68,21,-34.62,-68.33,79.57,17.43
191,Kysyl-syr,39,88,63.9,122.76,-12.78,3.8
192,Celestun,0,55,20.87,-90.4,83.14,6.76
193,Zhaotong,26,30,27.32,103.72,56.03,2.62
194,Nikolayevskaya,15,67,47.61,41.5,42.6,15.55
195,Jalu,85,38,29.03,21.55,72.46,20.4
196,Nome,20,74,64.5,-165.41,30.2,8.05
197,Lebu,0,55,-37.62,-73.65,68.83,12.88
198,Marsabit,41,39,2.33,37.99,78.19,15.26
199,Vostok,37,87,46.49,135.88,24.71,3.53
200,Karratha,10,47,-20.74,116.85,88.41,14.0
201,Iaciara,94,72,-14.1,-46.63,77.74,3.74
202,Fairbanks,90,90,64.84,-147.72,33.01,13.87
203,Saldanha,78,87,-33.01,17.94,65.01,21.18
204,Coruripe,60,72,-10.13,-36.18,84.0,10.0
205,Wuan,96,87,31.68,112.0,66.34,1.72
206,Kilindoni,99,73,-7.91,39.67,83.98,7.29
207,Palmer,90,70,42.16,-72.33,42.8,8.05
208,Half moon bay,40,66,37.46,-122.43,53.6,5.82
209,East london,77,94,-33.02,27.91,71.6,10.56
210,Maniitsoq,100,92,65.42,-52.9,10.44,23.49
211,Mar del plata,100,72,-38.0,-57.56,68.0,13.87
212,Seydi,49,37,39.48,62.91,52.12,10.13
213,Darhan,46,66,49.49,105.92,17.2,5.32
214,Yeniseysk,93,96,58.45,92.17,23.09,9.04
215,Najran,77,20,17.49,44.13,74.23,9.13
216,Berezovyy,6,94,51.67,135.7,25.66,0.83
217,San patricio,20,79,19.22,-104.7,86.0,6.93
218,Houma,75,58,29.6,-90.72,88.0,4.7
219,Port augusta,0,48,-32.5,137.77,59.09,5.35
220,Goderich,38,77,43.75,-81.72,41.4,7.65
221,Grindavik,75,76,63.84,-22.43,37.4,17.22
222,Longyearbyen,40,85,78.22,15.64,15.8,10.29
223,Chapais,100,77,49.78,-74.85,34.3,12.48
224,Sturgeon bay,90,87,44.83,-87.38,46.4,10.29
225,Natchez,1,65,31.56,-91.4,78.8,1.48
226,Vytegra,55,79,61.01,36.45,35.94,10.96
227,Vila franca do campo,43,67,37.72,-25.43,55.33,20.04
228,Morros,100,78,-9.45,-46.3,72.21,3.22
229,Severo-kurilsk,85,93,50.68,156.12,30.07,12.1
230,Esperance,69,71,-33.87,121.9,65.55,15.77
231,Cuncolim,26,84,15.17,73.98,76.55,2.51
232,Charters towers,81,78,-20.1,146.27,66.13,5.79
233,Wanning,10,88,18.8,110.4,74.91,6.64
234,Guanare,63,27,9.04,-69.74,100.76,3.29
235,Coolum beach,18,85,-26.53,153.1,63.1,2.82
236,Alyangula,56,100,-13.85,136.42,77.0,7.99
237,Rawson,0,41,-43.3,-65.1,72.48,20.15
238,Voyvozh,100,97,62.89,54.96,29.14,12.82
239,Margate,4,55,51.38,1.39,48.0,1.99
240,Scarborough,17,66,54.28,-0.4,45.0,15.99
241,Trelew,0,30,-43.25,-65.31,77.02,19.04
242,Nanortalik,58,93,60.14,-45.24,29.08,15.28
243,San quintin,46,63,30.48,-115.95,61.21,18.52
244,Dilbeek,32,48,50.85,4.27,46.99,6.93
245,Madaba,8,67,31.58,35.67,55.24,4.0
246,Puerto del rosario,20,68,28.5,-13.86,66.2,11.41
247,Namibe,23,78,-15.2,12.15,75.47,8.28
248,Villa maria,100,97,-32.41,-63.24,66.0,1.99
249,Ambon,45,68,-3.7,128.18,82.38,1.07
250,Norman wells,90,92,65.28,-126.83,28.4,2.24
251,Sur,81,67,22.57,59.53,72.46,5.66
252,Uniontown,97,48,39.9,-79.72,53.01,1.01
253,Mbeya,95,58,-8.9,33.45,63.14,2.91
254,Andapa,79,80,-14.65,49.65,71.02,1.07
255,Geraldton,0,47,-28.77,114.6,75.2,6.93
256,Hokitika,94,75,-42.72,170.97,54.09,3.04
257,Vestmanna,26,74,62.16,-7.17,42.62,21.63
258,Mayo,90,87,38.89,-76.51,48.99,10.29
259,Krasnoselkup,100,97,65.7,82.47,25.99,16.53
260,Tessalit,28,14,20.2,1.01,75.56,11.74
261,Vung tau,12,80,10.35,107.08,79.93,17.36
262,Matagami,90,55,49.75,-77.63,39.2,20.8
263,West wendover,1,42,40.74,-114.07,46.4,8.05
264,Tulun,100,91,54.56,100.58,15.22,9.01
265,Andros town,36,64,24.7,-77.77,79.14,8.34
266,Cocentaina,100,92,38.74,-0.44,44.01,1.01
267,Parana,84,35,-31.73,-60.52,93.0,4.0
268,Plettenberg bay,59,78,-34.05,23.37,66.16,10.51
269,Fasa,40,81,28.94,53.65,51.8,2.21
270,Kidal,90,12,18.44,1.41,81.0,15.39
271,Tucuman,75,69,-26.82,-65.22,77.0,13.87
272,Anadyr,96,92,64.75,177.48,15.8,4.47
273,Saint-augustin,4,92,51.23,-58.65,33.01,3.31
274,Selma,86,100,36.57,-119.61,57.0,2.04
275,Kudahuvadhoo,35,66,2.67,72.89,83.68,8.34
276,Shizunai,0,77,42.33,142.37,37.72,11.41
277,Morwell,54,89,-38.23,146.4,48.99,0.96
278,Dudinka,100,96,69.41,86.18,17.28,24.11
279,El alto,44,66,-4.27,-81.21,79.29,6.62
280,Meulaboh,100,78,4.14,96.13,81.0,2.95
281,Inhambane,0,83,-23.86,35.38,78.8,7.74
282,Isangel,92,83,-19.55,169.27,79.03,18.32
283,Ust-kan,0,77,50.93,84.76,10.22,1.61
284,Thinadhoo,3,69,0.53,72.93,83.55,12.21
285,Soyo,90,81,-6.13,12.37,82.33,7.02
286,Akdepe,95,46,42.06,59.38,43.21,13.56
287,Sakakah,0,20,29.97,40.21,68.11,10.87
288,Hami,74,37,42.8,93.45,38.17,8.77
289,Deputatskiy,100,84,69.3,139.9,-10.68,1.28
290,Port blair,8,65,11.67,92.75,81.19,7.2
291,Pacora,40,46,9.08,-79.28,91.4,14.99
292,Ancud,0,65,-41.87,-73.82,64.15,5.75
293,Bouar,64,43,5.93,15.6,76.1,2.01
294,Antigonish,0,72,45.62,-62.0,37.99,3.0
295,Belmonte,59,73,-15.86,-38.88,79.74,12.55
296,Eyl,57,78,7.98,49.82,82.15,14.5
297,Broken hill,0,45,-31.95,141.43,51.8,5.82
298,Joshimath,59,24,30.57,79.57,43.63,7.18
299,Kutum,79,10,14.2,24.67,78.1,7.27
300,Alghero,23,60,40.56,8.32,41.0,5.82
301,Olafsvik,100,88,64.89,-23.71,34.09,24.18
302,Sitka,90,74,57.05,-135.33,37.4,9.17
303,Port lincoln,60,80,-34.73,135.87,59.45,14.27
304,Lompoc,40,67,34.64,-120.46,57.99,6.93
305,Itapirapua,36,74,-15.82,-50.61,81.09,3.2
306,Burnie,6,87,-41.07,145.92,44.01,8.99
307,Sibu,75,100,2.3,111.82,77.0,1.54
308,Rincon,40,45,32.3,-81.24,84.99,14.99
309,Labelle,14,48,26.76,-81.44,84.69,12.46
310,Teknaf,0,85,20.86,92.31,71.98,4.45
311,Teshie,20,74,5.58,-0.11,80.6,14.99
312,Quatre cocos,11,81,-20.21,57.76,79.07,18.81
313,Pisco,36,30,-13.7,-76.22,73.99,11.41
314,Boueni,6,71,-12.9,45.08,83.66,7.2
315,Aldan,100,88,58.6,125.39,9.64,13.35
316,Shiyan,5,79,32.65,110.78,64.09,2.86
317,Yar-sale,96,96,66.83,70.83,25.61,12.71
318,Keti bandar,100,64,24.14,67.45,74.32,13.27
319,Kungurtug,77,70,50.6,97.52,-3.75,2.73
320,Ballina,90,93,-28.87,153.57,64.99,3.89
321,Birao,55,11,10.28,22.79,87.51,4.18
322,Garowe,75,59,8.41,48.48,80.22,18.95
323,Tuatapere,93,86,-46.13,167.68,46.38,6.22
324,Kihei,40,77,20.79,-156.47,69.8,13.87
325,Lesosibirsk,99,96,58.24,92.48,23.27,9.04
326,Ca mau,0,85,9.18,105.15,77.14,6.82
327,Los llanos de aridane,75,72,28.66,-17.92,64.4,6.93
328,Havre-saint-pierre,1,44,50.23,-63.6,37.4,10.29
329,Minsk,0,69,53.9,27.57,35.26,1.12
330,Husavik,97,93,66.04,-17.34,31.03,7.52
331,Flinders,100,74,-34.58,150.86,64.0,1.99
332,Tyukhtet,100,95,56.54,89.3,21.25,13.47
333,Poum,63,77,-20.23,164.02,78.13,15.32
334,Aden,25,79,12.78,45.04,80.91,14.94
335,Painesville,1,70,41.72,-81.25,50.0,6.93
336,Tsuyama,76,65,35.05,134.0,42.08,0.96
337,Katobu,24,88,-4.94,122.53,75.7,1.97
338,Esmeraldas,16,46,-19.76,-44.31,76.78,1.77
339,Gurupi,99,80,-11.73,-49.07,77.43,5.97
340,Talcahuano,0,68,-36.72,-73.12,69.8,8.05
341,Aswan,20,14,24.09,32.91,79.02,8.46
342,Vargem grande do sul,1,42,-21.83,-46.89,76.75,1.79
343,Kohima,5,53,25.67,94.12,55.92,1.25
344,Mahebourg,40,88,-20.41,57.7,78.8,10.29
345,Sainte-marie,92,73,-20.9,55.55,77.0,9.17
346,Vianopolis,66,62,-16.74,-48.52,75.65,7.4
347,Candido mendes,92,81,-1.45,-45.72,83.37,4.12
348,Hendaye,40,66,43.37,-1.77,51.8,3.36
349,Rio gallegos,40,32,-51.62,-69.22,68.0,14.99
350,Magaria,84,23,13.0,8.91,94.21,8.25
351,Jiazi,49,87,22.88,116.07,70.41,3.27
352,Energeticheskiy,75,68,43.43,77.02,30.2,4.47
353,Salalah,75,64,17.02,54.09,75.2,4.7
354,Bell ville,100,84,-32.63,-62.69,70.03,8.57
355,Taunggyi,0,29,20.78,97.03,56.41,3.2
356,Bay roberts,100,62,47.6,-53.26,34.0,11.99
357,Hobyo,0,72,5.35,48.53,83.93,14.94
358,Beloha,43,76,-25.17,45.05,75.61,2.95
359,Tibagi,1,31,-24.51,-50.41,79.74,3.76
360,Newry,67,87,54.18,-6.34,49.87,1.92
361,Itupiranga,44,80,-5.13,-49.33,83.44,1.34
362,Liverpool,0,43,53.41,-2.98,55.4,4.7
363,Amapa,100,87,1.0,-52.0,80.22,5.41
364,Isoka,40,67,-10.16,32.63,65.88,1.21
365,Canto do buriti,88,82,-8.11,-42.94,78.64,1.21
366,Tuktoyaktuk,90,84,69.45,-133.04,5.0,24.16
367,Bubaque,34,72,11.28,-15.83,79.45,13.29
368,Sao sebastiao,23,59,-23.76,-45.41,77.22,10.92
369,Ossora,97,94,59.24,163.07,33.22,5.61
370,San jose,40,66,37.34,-121.89,54.0,3.36
371,Pimentel,41,29,-6.84,-79.93,66.2,13.87
372,Srednekolymsk,49,89,67.45,153.68,-9.04,3.83
373,Hofn,88,80,64.25,-15.21,37.11,7.81
374,Segezha,100,77,63.74,34.32,37.78,13.33
375,El tigre,58,26,8.89,-64.25,94.32,9.19
376,Akyab,0,86,20.15,92.9,73.38,6.82
377,Parkes,89,84,-33.13,148.18,64.99,5.88
378,Mizdah,54,39,31.45,12.98,62.56,15.41
379,Florida,90,69,28.75,-82.5,84.0,17.22
380,Shalinskoye,100,92,55.72,93.76,18.37,15.19
381,La ligua,37,44,-32.45,-71.23,75.97,7.54
382,Formosa,20,36,-26.18,-58.18,95.0,13.87
383,Mayumba,98,84,-3.43,10.66,80.29,10.38
384,Cookeville,90,71,36.16,-85.5,59.0,5.82
385,Upata,96,42,8.01,-62.4,86.81,6.13
386,La palma,90,51,33.85,-118.05,63.0,6.93
387,Nantucket,75,70,41.28,-70.1,42.8,13.87
388,Auki,63,74,-8.77,160.7,82.67,5.82
389,Troitskoye,25,93,52.98,84.68,9.86,4.94
390,Hualmay,21,61,-11.1,-77.61,79.63,9.6
391,Sioux lookout,75,58,50.1,-91.92,26.6,9.17
392,Takoradi,98,77,4.88,-1.76,82.47,11.77
393,Birpur,23,39,26.52,87.02,78.35,4.23
394,Manavalakurichi,29,69,8.13,77.3,81.97,4.32
395,Griffith,40,76,41.53,-87.42,52.0,10.29
396,Codrington,0,84,-38.27,141.97,54.79,9.84
397,Arlit,68,10,18.74,7.39,88.21,12.5
398,Erzin,34,73,36.96,36.2,55.72,2.01
399,Sehwan,100,19,26.43,67.86,82.56,8.03
400,Gravdal,40,74,68.12,13.5,37.4,23.04
401,Ondjiva,61,57,-17.07,15.73,72.37,3.56
402,Providencia,85,43,28.72,-111.58,82.0,4.0
403,Ketchikan,1,74,55.34,-131.65,37.4,5.82
404,Zhigansk,12,87,66.77,123.37,-21.05,2.37
405,Kedrovyy,100,93,56.17,91.82,18.32,13.15
406,Naze,67,78,28.37,129.48,65.26,16.53
407,Saskylakh,81,88,71.92,114.08,-5.17,8.25
408,Amersham,3,36,51.67,-0.62,48.2,9.17
409,Vagay,100,94,57.94,69.02,28.54,10.76
410,Mount isa,2,47,-20.73,139.5,78.8,6.93
411,Sivas,57,55,39.79,37.0,33.8,1.12
412,Port hedland,3,58,-20.32,118.57,82.4,9.17
413,Porto novo,100,76,6.5,2.6,80.91,10.92
414,Kalmunai,99,69,7.42,81.82,79.27,4.79
415,Pangnirtung,40,75,66.15,-65.71,-13.0,12.75
416,Ilinskiy,76,30,55.62,38.12,44.6,6.71
417,Phulabani,0,36,20.47,84.23,76.86,2.37
418,Gat,13,17,31.61,34.76,54.0,5.93
419,Waipawa,61,82,-41.41,175.52,51.78,7.31
420,Ferme-neuve,100,64,46.7,-75.45,40.44,8.66
421,Xining,90,29,36.62,101.77,34.97,5.08
422,Talnakh,95,92,69.49,88.4,9.57,14.27
423,Leningradskiy,91,92,69.38,178.42,4.62,3.02
424,Sao gabriel da cachoeira,75,94,-0.13,-67.09,80.6,8.05
425,Bahia honda,0,59,22.9,-83.16,81.18,6.15
426,Bud,0,73,39.45,-86.18,55.0,3.15
427,Linguere,0,10,15.4,-15.12,95.4,5.37
428,Dagana,2,11,16.52,-15.51,92.44,6.33
429,Deder,76,54,9.32,41.45,58.75,2.01
430,Changji,0,56,44.02,87.32,32.0,4.47
431,Seymchan,48,83,62.88,152.43,2.37,3.85
432,Wyszkow,0,79,52.59,21.46,33.17,7.83
433,Hervey bay,3,79,-25.3,152.85,70.52,9.89
434,Gushikawa,1,77,26.35,127.87,69.8,8.05
435,Tocopilla,10,36,-22.09,-70.2,83.64,7.7
436,High level,5,56,58.52,-117.14,15.8,4.7
437,Sindor,100,94,62.86,51.89,31.42,12.8
438,Puqi,100,81,29.72,113.88,70.38,6.26
439,Abu dhabi,85,60,24.47,54.37,69.8,6.93
440,Si racha,2,65,13.17,100.93,84.99,9.55
441,Imeni poliny osipenko,0,96,52.42,136.49,21.97,2.17
442,Obregon,89,35,11.96,-85.96,94.01,12.73
443,Luderitz,0,68,-26.65,15.16,69.8,23.04
444,Korla,62,38,41.76,86.15,41.2,14.58
445,Mount pleasant,20,47,32.79,-79.86,82.4,12.46
446,Belaya gora,92,89,68.53,146.42,-10.1,6.6
447,Nova olinda do norte,33,81,-3.89,-59.09,84.36,4.56
448,Gamboma,72,70,-1.88,15.86,78.28,2.57
449,Bandarbeyla,33,78,9.49,50.81,80.53,13.62
450,Hamilton,1,41,39.18,-84.53,64.99,3.36
451,Xuanhua,100,65,40.61,115.04,35.49,17.05
452,Mataram,30,73,-8.58,116.12,80.96,4.74
453,Jipijapa,69,69,-1.33,-80.58,79.23,2.82
454,Rockport,90,65,28.02,-97.05,82.99,10.29
455,Verkhnevilyuysk,39,89,63.45,120.32,-9.89,2.95
456,Wladyslawowo,12,69,54.79,18.4,39.87,10.25
457,Kefamenanu,84,81,-9.45,124.48,71.31,0.87
458,Mucurapo,19,62,10.67,-61.53,82.33,15.86
459,Tautira,17,68,-17.73,-149.15,81.99,5.08
460,Pangody,100,98,65.85,74.49,31.57,17.0
461,Sumter,14,59,28.71,-82.08,86.0,15.01
462,Huarmey,38,58,-10.07,-78.15,82.62,10.13
463,Ilebo,53,67,-4.32,20.58,77.49,1.19
464,Padang,68,78,-0.95,100.35,79.0,5.28
465,Santa quiteria,80,78,-4.33,-40.16,81.9,0.38
466,Manacapuru,32,56,-3.3,-60.62,90.82,3.91
467,Henties bay,12,77,-22.12,14.28,65.26,12.35
468,Anori,38,46,-3.77,-61.64,93.69,2.44
469,Boyolangu,75,86,-8.12,111.89,76.87,5.03
470,Gorom-gorom,60,15,14.44,-0.24,87.03,4.43
471,Yulara,1,31,-25.24,130.99,77.0,14.99
472,Okhotsk,0,90,59.38,143.3,14.11,7.67
473,Krutikha,59,95,53.96,81.21,12.74,6.6
474,Colon,50,62,9.36,-79.9,84.97,11.07
475,Coquimbo,2,64,-29.95,-71.34,69.8,12.75
476,Dongsheng,100,53,39.82,109.98,31.06,12.39
477,Tacna,20,61,-18.01,-70.25,77.0,5.82
478,Meadow lake,18,15,34.8,-106.54,61.95,12.21
479,Katherine,40,88,-14.47,132.27,75.2,5.82
